userId,userName,salary
1,johnsmith,55000
2,janedoe,62000
3,michaelb,71000
4,sarahw,48000
5,davidlee,83000
6,emilyj,59000
7,robertk,92000
8,lisam,67000
9,danielt,74000
10,nancyh,51000
11,kevinp,88000
12,oliviaf,69000
13,jamesc,73000
14,amandad,64000
15,brians,78000
16,ashleyr,61000
17,chrism,95000
18,meganl,54000
19,stevenb,86000
20,lauraw,72000
21,andrewt,58000
22,heatherk,91000
23,justinp,76000
24,rachelm,63000
25,ericc,82000
26,karenh,57000
27,thomasj,98000
28,monicaf,66000
29,ryand,79000
30,stephaniea,60000
31,jonathans,87000
32,rebeccal,75000
33,patrickb,53000
34,kimberlyw,94000
35,gregorym,68000
36,annat,71000
37,nicholask,85000
38,alexisr,62000
39,benjaminp,97000
40,victoriah,56000
41,adamc,81000
42,melissaj,70000
43,seanm,59000
44,julieb,93000
45,zacharyd,77000
46,samanthaf,65000
47,brandonw,84000
48,katherinel,61000
49,tylerh,96000
50,angelap,54000
51,aarons,89000
52,christinam,73000
53,douglasb,58000
54,teresak,92000
55,ethanc,76000
56,jenniferr,64000
57,frankm,83000
58,amyl,57000
59,georgeh,99000
60,hannahp,69000
61,harryj,74000
62,nicolef,62000
63,ianm,87000
64,madisons,71000
65,jackb,55000
66,brittanyw,95000
67,jerryt,78000
68,alexandrak,66000
69,loganp,82000
70,chelseah,60000
71,nathanc,91000
72,mariaj,73000
73,owenm,58000
74,vanessab,97000
75,peterd,76000
76,allisonf,64000
77,quintons,85000
78,sophial,61000
79,richardh,93000
80,emmap,70000
81,samuelt,59000
82,gracek,98000
83,timothyc,77000
84,isabellar,65000
85,victorm,84000
86,lilyw,62000
87,walterb,96000
88,zoeh,54000
89,xavierp,89000
90,clairej,73000
91,yusufm,58000
92,natashab,92000
93,zachh,76000
94,biancaf,64000
95,arthurs,83000
96,dianal,57000
97,calebm,99000
98,elizabethw,69000
99,felixb,74000
100,gabriellap,62000
